formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C2H6OS	[M + H]+	C2H7OS+	Fatty acids	0.991	Fatty acyls	0.977	Fatty alcohols	0.151	Organosulfur compounds	0.992	Sulfinyl compounds	0.594					Sulfinyl compounds	0.594	Organic compounds; Organosulfur compounds; Sulfinyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	79.021	68	592790052453352212	592789400796896544	1
1	C4H6O3	[M - H2O + H]+	C4H5O2+	Fatty acids	0.998	Fatty Acids and Conjugates	0.972	Unsaturated fatty acids	0.559	Lipids and lipid-like molecules	0.461	Fatty Acyls	0.532					Fatty Acyls	0.532	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	85.028	141	592790051111173755	592789401530899749	2
1	C7H6O2	[M - H2O + H]+	C7H5O+	Shikimates and Phenylpropanoids	0.978	Phenolic acids (C6-C1)	0.997	Simple phenolic acids	0.996	Benzenoids	0.998	Benzene and substituted derivatives	0.983	Benzoic acids and derivatives	0.956	Benzoic acids	0.927	Benzoic acids	0.927	Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	105.033	225	592790078973944277	592789402101325103	5
1	C8H12O2	[M - H4O2 + H]+	C8H9+	Terpenoids	0.589	Monoterpenoids	0.613	Menthane monoterpenoids	0.149	Organoheterocyclic compounds	0.499	Oxacyclic compounds	0.560					Oxacyclic compounds	0.560	Organic compounds; Alcohols and polyols; Organooxygen compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	105.070	172	592790075475892023	592789402256514356	6
1	C2H3N2O2	[M + Na]+	C2H3N2NaO2+	Alkaloids	0.843	Pseudoalkaloids (transamidation)	0.325	Purine alkaloids	0.485	Organoheterocyclic compounds	0.951	Heteroaromatic compounds	0.904					Heteroaromatic compounds	0.904	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.009	42	592790001165388081	592789402424286521	7
1	C5H4N2	[M + H3N + H]+	C5H8N3+	Alkaloids	0.810	Nicotinic acid alkaloids	0.947	Pyridine alkaloids	0.948	Organoheterocyclic compounds	0.752	Heteroaromatic compounds	0.810					Heteroaromatic compounds	0.810	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic cyanides; Organic nitrogen compounds; Chemical entities	110.071	776	592793589333831019	592789402558504254	8
1	C5H6N2	[M + H3N + H]+	C5H10N3+	Alkaloids	0.956	Nicotinic acid alkaloids	0.979	Pyridine alkaloids	0.979	Organoheterocyclic compounds	0.467	Heteroaromatic compounds	0.682					Heteroaromatic compounds	0.682	Organic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	112.087	46	592790001282828613	592789402692721987	9
1	C5H10O4	[M - H2O + H]+	C5H9O3+	Fatty acids	0.988	Fatty Acids and Conjugates	0.876	Hydroxy fatty acids	0.673	Lipids and lipid-like molecules	0.946	Fatty Acyls	0.895	Fatty acid esters	0.776	Fatty acid methyl esters	0.553	Fatty acid methyl esters	0.553	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Methyl esters; Fatty acid methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	117.055	153	592790061383028212	592789402822745416	10
1	C5H8O2	[M + H3N + H]+	C5H12NO2+	Fatty acids	0.987	Fatty esters	0.716	Wax monoesters	0.509	Organic acids and derivatives	0.494	Carboxylic acids and derivatives	0.532	Monocarboxylic acids and derivatives	0.633			Monocarboxylic acids and derivatives	0.633	Organic compounds; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	118.086	55	592790053581620486	592789402994711885	11
1	C5H13NO3	[M - H2O + H]+	C5H12NO2+	Amino acids and Peptides	0.872	Small peptides	0.879	Aminoacids	0.922	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Quaternary ammonium salts	0.554			Quaternary ammonium salts	0.554	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	48	592790033918710764	592789403107958098	12
1	C5H13NO3	[M - H2O + H]+	C5H12NO2+	Amino acids and Peptides	0.872	Small peptides	0.879	Aminoacids	0.922	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Quaternary ammonium salts	0.555			Quaternary ammonium salts	0.555	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; Carbonyl compounds; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	77	592790047353073092	592789403296701783	13
1	C8H6	[M + H3N + H]+	C8H10N+	Shikimates and Phenylpropanoids	0.508	Phenylpropanoids (C6-C3)	0.622	Cinnamic acids and derivatives	0.557	Benzenoids	0.978	Benzene and substituted derivatives	0.796					Benzene and substituted derivatives	0.796	Organic compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbons; Unsaturated hydrocarbons; Aromatic hydrocarbons; Chemical entities	120.081	147	592790074385372172	592789403443502428	14
